longitude,latitude,price,property_type,property_subtype,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,furnished,province,land_surface,balcony,swimming_pool,availability_clean
4.201111,50.4582802,169000,House,House,1975.0,New,173.0,3.0,1.0,False,False,Hainaut,300.0,False,False,On contract
3.68554385,50.58711835,350000,Appartment,Loft,1975.0,Normal,276.0,4.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
3.8740915,50.3723909,525000,House,Villa,1997.0,Excellent,156.0,4.0,2.0,False,False,Hainaut,2026.0,True,True,On contract
4.1359685,50.3096047,330000,House,Villa,1996.0,Normal,120.0,3.0,1.0,False,False,Hainaut,2548.0,False,False,On contract
3.7948107,50.413213,140000,Appartment,Flat,1970.0,Normal,73.0,2.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
3.283159,50.6448071,590000,House,House,1975.0,Normal,374.0,5.0,3.0,False,False,Hainaut,1545.0,False,False,Unknown
4.4161578,50.3596978,349000,House,House,1975.0,Unknown,177.0,3.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
3.219272,50.7459126,215000,House,House,1975.0,Unknown,143.0,3.0,1.0,False,False,Hainaut,167.0,False,False,Unknown
4.1609237,50.4857285,175000,House,House,1975.0,Fully renovated,169.0,2.0,1.0,False,False,Hainaut,311.0,False,False,On contract
4.1462924,50.4794363,129000,Appartment,Flat,1975.0,Excellent,117.0,3.0,1.0,False,False,Hainaut,573.0,False,False,On contract
4.4785529,50.4019348,175000,House,MixedBuilding,1975.0,To renovate,260.0,2.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
3.7948107,50.413213,100000,Appartment,Flat,1970.0,Normal,49.0,1.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
4.1883291,50.4749346,169000,House,MixedBuilding,1975.0,Excellent,102.0,2.0,1.0,False,False,Hainaut,80.0,False,False,Unknown
3.58716465,50.49152985,199000,House,House,1975.0,Unknown,153.0,1.0,1.0,False,False,Hainaut,900.0,False,False,Unknown
4.4370311,50.4427249,189999,House,House,1950.0,To renovate,177.0,5.0,1.0,False,False,Hainaut,115.0,False,False,On contract
4.1755975,50.4783661,195000,Appartment,Duplex,1975.0,Normal,141.0,3.0,1.0,False,False,Hainaut,573.0,False,False,On contract
3.7804655,50.3962638,195000,House,House,1930.0,Normal,215.0,3.0,1.0,False,False,Hainaut,310.0,False,False,On contract
4.58783,50.47274,128000,House,House,1975.0,Unknown,115.0,2.0,1.0,False,False,Hainaut,1220.0,False,False,Unknown
3.219272,50.7459126,595000,House,House,1975.0,Unknown,486.0,3.0,2.0,False,False,Hainaut,638.0,False,False,On contract
4.4436699,50.3922481,228000,House,House,1975.0,Unknown,125.0,3.0,1.0,False,False,Hainaut,396.0,False,False,Unknown
4.4436699,50.3922481,348000,Appartment,Flat,1975.0,Unknown,158.0,3.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
3.8383261,50.4048263,180000,House,MixedBuilding,1975.0,Normal,245.0,3.0,2.0,False,False,Hainaut,255.0,False,False,On contract
3.7656597,50.4306618,340000,House,House,1975.0,Normal,155.0,4.0,2.0,False,False,Hainaut,500.0,False,False,Unknown
4.0026575,50.5685485,260000,House,House,1975.0,Normal,150.0,3.0,1.0,False,False,Hainaut,675.0,False,False,Unknown
4.405458,50.3886584,248000,House,House,1975.0,Unknown,165.0,3.0,1.0,False,False,Hainaut,300.0,False,False,Unknown
3.236436,50.7197191,570000,House,House,1975.0,Normal,289.0,4.0,2.0,False,False,Hainaut,2037.0,False,False,On contract
4.4436699,50.3922481,407560,House,House,1975.0,New,184.0,3.0,1.0,False,False,Hainaut,785.0,False,False,Unknown
4.1755975,50.4783661,145000,Appartment,Flat,1975.0,Normal,127.0,3.0,1.0,False,False,Hainaut,573.0,False,False,On contract
4.4807406,50.4195816,90000,Appartment,Flat,1966.0,Normal,65.0,2.0,1.0,True,False,Hainaut,573.0,False,False,On contract
4.449213,50.4157265,98000,Appartment,Flat,1975.0,Unknown,45.0,1.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
3.6091371,50.4979391,125000,Appartment,GroundFloor,1975.0,Normal,116.0,2.0,1.0,False,False,Hainaut,573.0,False,False,On contract
4.3880774,50.3221203,170000,House,House,1975.0,Unknown,81.0,2.0,1.0,False,False,Hainaut,1165.0,False,False,Unknown
3.2326156,50.722568,199000,Appartment,Flat,1975.0,Normal,118.0,2.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
4.4322027,50.4688896,450000,House,House,1975.0,Excellent,700.0,5.0,3.0,False,False,Hainaut,573.0,False,False,Unknown
